Module	Section	Sample Name	Source
FastQC	all_sections	BartSimpson_R1_filtered	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Filtered/BartSimpson_R1_filtered.fastp_fastqc.zip
FastQC	all_sections	BartSimpson_R2	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/BartSimpson_R2_fastqc.zip
FastQC	all_sections	BartSimpson_R2_filtered	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Filtered/BartSimpson_R2_filtered.fastp_fastqc.zip
FastQC	all_sections	HomerSimpson_R1	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/HomerSimpson_R1_fastqc.zip
FastQC	all_sections	HomerSimpson_R1_filtered	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Filtered/HomerSimpson_R1_filtered.fastp_fastqc.zip
FastQC	all_sections	HomerSimpson_R2	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/HomerSimpson_R2_fastqc.zip
FastQC	all_sections	HomerSimpson_R2_filtered	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Filtered/HomerSimpson_R2_filtered.fastp_fastqc.zip
FastQC	all_sections	LisaSimpson_R1	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/LisaSimpson_R1_fastqc.zip
FastQC	all_sections	LisaSimpson_R1_filtered	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Filtered/LisaSimpson_R1_filtered.fastp_fastqc.zip
FastQC	all_sections	LisaSimpson_R2	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/LisaSimpson_R2_fastqc.zip
FastQC	all_sections	LisaSimpson_R2_filtered	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Filtered/LisaSimpson_R2_filtered.fastp_fastqc.zip
FastQC	all_sections	MaggieSimpson_R1	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/MaggieSimpson_R1_fastqc.zip
FastQC	all_sections	MaggieSimpson_R1_filtered	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Filtered/MaggieSimpson_R1_filtered.fastp_fastqc.zip
FastQC	all_sections	MaggieSimpson_R2	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/MaggieSimpson_R2_fastqc.zip
FastQC	all_sections	MaggieSimpson_R2_filtered	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Filtered/MaggieSimpson_R2_filtered.fastp_fastqc.zip
